thread_id,customer_text,historical_reply,true_intent,predicted_intent,should_escalate,predicted_escalate,retrieved_reply
1309,Hi @USER I have a premium account as part of my @USER bundle. I'd like to have premium family but am not sure if it's possible due to the account type I have. Can you advise? Thx,@USER Hey Kate! We'll help out. Can you DM us your account's email address? We'll take a look under the hood /AN,Billing & Subscription,Billing & Subscription,True,True,@USER Hey there! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /RV
228,@USER Misleidende reclame,"@USER Hey! We can help out in English via Twitter, but we also have Dutch support via email at /SJ",App Bug & Performance,App Bug & Performance,False,False,@USER Sweet. Are you getting any specific error messages? A screenshot would come in handy /NS
51,"@SpotifyCares Yesterday the Spotify toolbar disappeared from my Android phone's lock screen. Is this a bug, or was it removed in an update, or what?","@USER Hey Brenda, help's here! Does logging out, restarting your device, and logging back in make a difference? /LO",App Bug & Performance,App Bug & Performance,False,False,@USER That's odd. Are you having any issues with your other apps? /NY
1518,"@USER @SpotifyCares Im literally your loyalist customer, everyday reposting my daily mixes and uses, may i pls come to the nyc holiday party?","@USER Hey! This account is for Spotify account questions only, but let us know which party you're referring to, we'll see what we can find out /PB",App Bug & Performance,App Bug & Performance,False,False,"@USER We hear you. Rest assured, your feedback will be passed on to the right folks /NQ"
563,@USER when will we lyrics back?? It’s been too long! How am I supposed to learn my favorite artist lyrics without sounding like a fool?,"@USER Hey! Can you check if you're listening to a Genius-powered track, and try following these steps Let us know how it goes /KM",Audio Playback Failure,App Bug & Performance,False,False,"@USER Hey there! Can you tell us what device, operating system, and version of Spotify you're using? We'll see what we can suggest /SY"
501,"@SpotifyCares Hey, I can't upgrade to premium. ""503 Service Unavailable. No server is available to handle this request."" Android app and web app.",@USER Hey Sverre! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /NH,Billing & Subscription,Billing & Subscription,True,True,"@USER Hey there! Android is coming soon, so look out for any announcements 🎶 /Q"
457,"@SpotifyCares Yes I understand there is a limit, but why?",@USER 1: In this case. the reason is because less than 1% of users reach the 10k limit on Your Music. The current limit ensures a great...,App Bug & Performance,Playlist & Library Sync,False,False,"@USER Hmm, that's strange. We'll get this passed on to our devs so they can look into it. Give us a shout if you need anything else /NQ"
285,Hi @SpotifyCares I just got a new laptop &amp; wondering if there's a way to transfer downloaded songs from my old one w/o redownloading? Thanks,@USER 2: There's more info about managing offline devices here: /KB,App Bug & Performance,Playlist & Library Sync,False,False,@USER Hey! New content is added to Spotify every day. Hopefully we'll have all of the songs you’re looking soon /CX
1508,@SpotifyCares No it doesn’t. have the most recent update and premium,@USER Let's try restarting your phone. Just press and hold the Sleep/Wake and Volume Down buttons for about 10 seconds. Keep us posted /CX,Billing & Subscription,Billing & Subscription,True,True,@USER Thanks! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /JJ
209,"@SpotifyCares Hey so this is the third time this happens, out of nowhere all my downloads disappear. ☹️ I went to listen to music offline today and found that I couldn't because they were all gone.","@USER Hey Adrian, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at They should help with this /SY",Playlist & Library Sync,Audio Playback Failure,False,False,"@USER Hey Angelo! We don't have that feature for now, but you can add your vote to a similar idea here: to help make it happen 🙂 /KT"
