thread_id,customer_text,historical_reply,true_intent,predicted_intent,should_escalate,predicted_escalate,escalation_reason,draft_reply
1309,Hi @USER I have a premium account as part of my @USER bundle. I'd like to have premium family but am not sure if it's possible due to the account type I have. Can you advise? Thx,@USER Hey Kate! We'll help out. Can you DM us your account's email address? We'll take a look under the hood /AN,Billing & Subscription,Billing & Subscription,True,True,"The user is inquiring about changing their subscription plan from a bundle to a Family plan, which requires manual review and billing adjustment.","Hey there! Thanks for reaching out. Since this involves changing your specific plan type from a bundle to Family, I've flagged this for our billing team to review your account details and guide you through the switch. You'll hear from them shortly! /AI"
228,@USER Misleidende reclame,"@USER Hey! We can help out in English via Twitter, but we also have Dutch support via email at /SJ",App Bug & Performance,Feature Request & Feedback,False,False,"The user is providing general feedback about advertising practices, which does not indicate a specific technical failure, billing dispute, or account issue requiring immediate human escalation.",Hey! Thanks for the feedback. We're always working to make our ads more relevant and less intrusive. We've passed this along to the team! 📝 /AI
51,"@SpotifyCares Yesterday the Spotify toolbar disappeared from my Android phone's lock screen. Is this a bug, or was it removed in an update, or what?","@USER Hey Brenda, help's here! Does logging out, restarting your device, and logging back in make a difference? /LO",App Bug & Performance,App Bug & Performance,False,False,This is a UI display issue that can be resolved with troubleshooting steps.,"Hey! That sounds like a UI glitch. Try clearing the app cache or checking your lock screen widget settings. If it’s still missing, a reinstall usually fixes it. Let us know if it comes back! 📱 /AI"
1518,"@USER @SpotifyCares Im literally your loyalist customer, everyday reposting my daily mixes and uses, may i pls come to the nyc holiday party?","@USER Hey! This account is for Spotify account questions only, but let us know which party you're referring to, we'll see what we can find out /PB",App Bug & Performance,Feature Request & Feedback,False,False,"The user is expressing loyalty and requesting an invitation to an event, which falls under general feedback and community engagement rather than a technical issue or billing dispute.","Hey! That’s awesome to hear, we really appreciate your support! 🎉 We don’t have a public application process for the NYC holiday party, but keep those daily mixes coming! /AI"
563,@USER when will we lyrics back?? It’s been too long! How am I supposed to learn my favorite artist lyrics without sounding like a fool?,"@USER Hey! Can you check if you're listening to a Genius-powered track, and try following these steps Let us know how it goes /KM",Audio Playback Failure,Feature Request & Feedback,False,False,"This is a product feedback request regarding a missing feature, not a technical failure or account issue.","We hear you! We're always working on improving the experience, so keep an eye out for updates. 🎤 /AI"
501,"@SpotifyCares Hey, I can't upgrade to premium. ""503 Service Unavailable. No server is available to handle this request."" Android app and web app.",@USER Hey Sverre! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /NH,Billing & Subscription,App Bug & Performance,True,False,"The issue is a transient server error (503) affecting the upgrade flow, which is a technical performance issue rather than a billing dispute or account lockout.","Whoops, that 503 error is definitely not the vibe we're going for! 📉 It looks like our servers are having a hiccup. Please try again in a few minutes or clear your app cache. If it persists, let us know! /AI"
457,"@SpotifyCares Yes I understand there is a limit, but why?",@USER 1: In this case. the reason is because less than 1% of users reach the 10k limit on Your Music. The current limit ensures a great...,App Bug & Performance,Feature Request & Feedback,False,False,The user is questioning a product design decision rather than reporting a technical failure or billing issue.,"We hear you! We're always looking for ways to improve the experience, so we've passed your feedback along to the team. Thanks for helping us make Spotify better! 🎧 /AI"
285,Hi @SpotifyCares I just got a new laptop &amp; wondering if there's a way to transfer downloaded songs from my old one w/o redownloading? Thanks,@USER 2: There's more info about managing offline devices here: /KB,App Bug & Performance,Playlist & Library Sync,False,False,This is a standard sync and data transfer inquiry that can be resolved with general guidance.,"Hey there! Unfortunately, offline downloads are tied to the specific device they were saved on, so you can't directly transfer the files. You'll need to re-download them on your new laptop, but your library and playlists will sync automatically once you log in. Hope that helps! /AI"
1508,@SpotifyCares No it doesn’t. have the most recent update and premium,@USER Let's try restarting your phone. Just press and hold the Sleep/Wake and Volume Down buttons for about 10 seconds. Keep us posted /CX,Billing & Subscription,App Bug & Performance,True,False,"The user is reporting a technical issue with the latest app version, which is typically handled by the technical support team rather than requiring immediate human escalation.",Sorry to hear the latest update isn't working as expected! Could you let us know what specific issue you're seeing? We'll get to the bottom of it. /AI
209,"@SpotifyCares Hey so this is the third time this happens, out of nowhere all my downloads disappear. ☹️ I went to listen to music offline today and found that I couldn't because they were all gone.","@USER Hey Adrian, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at They should help with this /SY",Playlist & Library Sync,Playlist & Library Sync,False,False,This is a known sync issue that can be resolved with standard troubleshooting steps.,"Oh no, that's super frustrating! 😔 Let's try to fix this. Please check your storage space and make sure you're connected to Wi-Fi, then try re-downloading a few tracks. If they still vanish, try clearing the app cache. /AI"
