thread_id,customer_text,historical_reply,true_intent,should_escalate,escalation_reason
1309,Hi @USER I have a premium account as part of my @USER bundle. I'd like to have premium family but am not sure if it's possible due to the account type I have. Can you advise? Thx,@USER Hey Kate! We'll help out. Can you DM us your account's email address? We'll take a look under the hood /AN,Billing & Subscription,true,Requires backend billing refund access
228,@USER Misleidende reclame,"@USER Hey! We can help out in English via Twitter, but we also have Dutch support via email at /SJ",App Bug & Performance,false,Standard troubleshooting
51,"@SpotifyCares Yesterday the Spotify toolbar disappeared from my Android phone's lock screen. Is this a bug, or was it removed in an update, or what?","@USER Hey Brenda, help's here! Does logging out, restarting your device, and logging back in make a difference? /LO",App Bug & Performance,false,Standard troubleshooting
1518,"@USER @SpotifyCares Im literally your loyalist customer, everyday reposting my daily mixes and uses, may i pls come to the nyc holiday party?","@USER Hey! This account is for Spotify account questions only, but let us know which party you're referring to, we'll see what we can find out /PB",App Bug & Performance,false,Standard troubleshooting
563,@USER when will we lyrics back?? It’s been too long! How am I supposed to learn my favorite artist lyrics without sounding like a fool?,"@USER Hey! Can you check if you're listening to a Genius-powered track, and try following these steps Let us know how it goes /KM",Audio Playback Failure,false,Standard troubleshooting
501,"@SpotifyCares Hey, I can't upgrade to premium. ""503 Service Unavailable. No server is available to handle this request."" Android app and web app.",@USER Hey Sverre! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /NH,Billing & Subscription,true,Requires backend billing refund access
457,"@SpotifyCares Yes I understand there is a limit, but why?",@USER 1: In this case. the reason is because less than 1% of users reach the 10k limit on Your Music. The current limit ensures a great...,App Bug & Performance,false,Standard troubleshooting
285,Hi @SpotifyCares I just got a new laptop &amp; wondering if there's a way to transfer downloaded songs from my old one w/o redownloading? Thanks,@USER 2: There's more info about managing offline devices here: /KB,App Bug & Performance,false,Standard troubleshooting
1508,@SpotifyCares No it doesn’t. have the most recent update and premium,@USER Let's try restarting your phone. Just press and hold the Sleep/Wake and Volume Down buttons for about 10 seconds. Keep us posted /CX,Billing & Subscription,true,Requires backend billing refund access
209,"@SpotifyCares Hey so this is the third time this happens, out of nowhere all my downloads disappear. ☹️ I went to listen to music offline today and found that I couldn't because they were all gone.","@USER Hey Adrian, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at They should help with this /SY",Playlist & Library Sync,false,Standard troubleshooting
1385,.@USER please stop sending me upcoming concert emails full of sold-out shows. It’s MEAN.,"@USER We hear you, Kaitlyn! Your feedback has been noted and passed onto the team 👊🏼 /KL",App Bug & Performance,false,Standard troubleshooting
1516,@SpotifyCares I recently joined Spotify premium I used to have ITunes can you please let me know how could I import my ITunes library to Spotify’s library ? Thanks,"@USER Hey! You can find more info on how to import your tunes from iTunes at If you have questions, let us know /RA",Billing & Subscription,true,Requires backend billing refund access
1827,"@USER we really need spotify in our country, i will go with premium subs if i have to!","@USER Hey Roger! Just to check, where are you currently located? /JN",Billing & Subscription,true,Requires backend billing refund access
1116,@USER How do you stop premium???,@USER Hey! We can help cancel your subscription. Can you DM us your account's email address? We'll be waiting for your reply /MG,Billing & Subscription,true,Requires backend billing refund access
178,"@SpotifyCares Sorted, thanks! Took over an hour and several different devices, but done. Kept receiving a server error. Thanks for getting back to me. (Just got to wait &amp; go through 8 days of kids arguing for Premium for Family now) 😂👍","@USER Glad to hear you're finally on Premium for Family now! If you ever need us again, we're just a tweet away. 😁 /JE",Billing & Subscription,true,Requires backend billing refund access
1209,@USER can y'all update red velvet's discography already? why is rebirth still their most recent album?,"@USER Hi! We’d love to have all of Red Velvet's stuff available, but we have some info about content here: We'll be here if you have other questions 🙂 /RR",App Bug & Performance,false,Standard troubleshooting
864,"@SpotifyCares It’s an iPhone 7 Plus, iOS 11.1.2 and it’s he most recent Spotify update",@USER Thanks! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /JJ,App Bug & Performance,false,Standard troubleshooting
65,@SpotifyCares It is an #amazing album. @USER at his finest,@USER We'd love to have it on Spotify! Fingers crossed it'll soon be available to us 👍 /RK,Content Availability,false,Standard troubleshooting
61,@SpotifyCares I have a problem with my new release not showing up under my artist profile. When can you fix this?,@USER Hey! Sorry about that. We’d recommend reaching out to your distributor/aggregator. They'll work with our team to get this sorted /MC,Content Availability,false,Standard troubleshooting
191,thank you @USER for giving me useless information when all i wanted to know was what he was saying at that moment,"@USER Hey Claire! These annotations give extra details to the songs. In the track's last Genius card, there’s a link to the full lyrics /CE",App Bug & Performance,false,Standard troubleshooting
447,"@USER Hello, im having problems qith my account! I paid for premium but I still can’t use it ??? My account seems to still be on spotify normal and the payment passed ! I turned off my account , still doesnt work. What can i do?",@USER Hey Melissa! Can you fire over your account's email address via DM? We'll take a look backstage /JA,Billing & Subscription,true,Requires backend billing refund access
476,@USER I'm trying to authorize payment for my premium account and the website won't take payment! Funds are available whats wrong?,"@USER Hey Jewels, we'd love to help! Can you DM us your account's username/email address? We'll check what's happening backstage /JP",Billing & Subscription,true,Requires backend billing refund access
